name,length,avg_gradient,steepest_section,elevation_gain,duration,latitude,longitude,url
Keutenberg,De Keutenberg is 1.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Keutenberg is 6.6%.,De steilste 100 meter van de Keutenberg zijn gemiddeld 18.2%.,De top van de Keutenberg ligt op 163 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:55 over de Keutenberg. Bij 11 km/u is de tijd 00:06:57 en bij 15 km/u 00:05:06. Voor de snelste fietsers is 00:04:01 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/keutenberg
Camerig,De Camerig is 4.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Camerig is 4.7%.,De steilste 100 meter van de Camerig zijn gemiddeld 13.8%.,De top van de Camerig ligt op 290 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:35:37 over de Camerig. Bij 11 km/u is de tijd 00:22:40 en bij 15 km/u 00:16:37. Voor de snelste fietsers is 00:13:07 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/camerig
Cauberg,De Cauberg is 1.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Cauberg is 5.8%.,De steilste 100 meter van de Cauberg zijn gemiddeld 11.8%.,De top van de Cauberg ligt op 143 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:10:12 over de Cauberg. Bij 11 km/u is de tijd 00:06:29 en bij 15 km/u 00:04:45. Voor de snelste fietsers is 00:03:45 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/cauberg
Eyserbosweg,De Eyserbosweg is 0.9 kilometer lang.,Het gemiddelde stijgingspercentage van de Eyserbosweg is 9.6%.,De steilste 100 meter van de Eyserbosweg zijn gemiddeld 17.4%.,De top van de Eyserbosweg ligt op 193 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:07:24 over de Eyserbosweg. Bij 11 km/u is de tijd 00:04:42 en bij 15 km/u 00:03:27. Voor de snelste fietsers is 00:02:43 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/eyserbosweg
Col du VAM / VAM-berg,De Col du VAM / VAM-berg is 0.4 kilometer lang.,Het gemiddelde stijgingspercentage van de Col du VAM / VAM-berg is 9.7%.,De steilste 100 meter van de Col du VAM / VAM-berg zijn gemiddeld 12.8%.,De top van de Col du VAM / VAM-berg ligt op 48 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:03:01 over de Col du VAM / VAM-berg. Bij 11 km/u is de tijd 00:01:55 en bij 15 km/u 00:01:24. Voor de snelste fietsers is 00:01:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vam-berg
Doodeman,De Doodeman is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Doodeman is 7.4%.,De steilste 100 meter van de Doodeman zijn gemiddeld 14.1%.,De top van de Doodeman ligt op 167 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:54 over de Doodeman. Bij 11 km/u is de tijd 00:05:40 en bij 15 km/u 00:04:09. Voor de snelste fietsers is 00:03:16 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/doodeman
Oude Holleweg,De Oude Holleweg is 1 kilometer lang.,Het gemiddelde stijgingspercentage van de Oude Holleweg is 7.7%.,De steilste 100 meter van de Oude Holleweg zijn gemiddeld 13.9%.,De top van de Oude Holleweg ligt op 93 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:08:25 over de Oude Holleweg. Bij 11 km/u is de tijd 00:05:21 en bij 15 km/u 00:03:55. Voor de snelste fietsers is 00:03:06 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/oude-holleweg
Vaalserberg / Drielandenpunt via Vaals,De Vaalserberg / Drielandenpunt via Vaals is 3.3 kilometer lang.,Het gemiddelde stijgingspercentage van de Vaalserberg / Drielandenpunt via Vaals is 4.2%.,De steilste 100 meter van de Vaalserberg / Drielandenpunt via Vaals zijn gemiddeld 8.5%.,De top van de Vaalserberg / Drielandenpunt via Vaals ligt op 320 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:28:28 over de Vaalserberg / Drielandenpunt via Vaals. Bij 11 km/u is de tijd 00:18:07 en bij 15 km/u 00:13:17. Voor de snelste fietsers is 00:10:29 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/vaalserberg
Kruisberg,De Kruisberg is 0.7 kilometer lang.,Het gemiddelde stijgingspercentage van de Kruisberg is 7.9%.,De steilste 100 meter van de Kruisberg zijn gemiddeld 14.6%.,De top van de Kruisberg ligt op 165 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:06:12 over de Kruisberg. Bij 11 km/u is de tijd 00:03:56 en bij 15 km/u 00:02:53. Voor de snelste fietsers is 00:02:17 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/kruisberg
Posbank,De Posbank is 2.2 kilometer lang.,Het gemiddelde stijgingspercentage van de Posbank is 2.8%.,De steilste 100 meter van de Posbank zijn gemiddeld 9.4%.,De top van de Posbank ligt op 85 meter.,Bij een langzaam tempo van 7 km/u doe je ongeveer 00:18:28 over de Posbank. Bij 11 km/u is de tijd 00:11:45 en bij 15 km/u 00:08:37. Voor de snelste fietsers is 00:06:48 een haalbare tijd.,,,https://climbfinder.com/nl/beklimmingen/posbank
